score,outlier,mins,top_region,n_regions,regions,title,channel,subs,views,category,url
55,15.8,143.8,DE,2,"AT, DE",Altı Üstü İstanbul 9. Bölüm @atvturkiye,Altı Üstü İstanbul,870000,13742018,Film & Animation,https://youtu.be/AptpwhHkJdA
55,59.3,0.5,AU,1,AU,Gained aura even after losing 🥶 #ishowspeed #edit,VEYRA Shorts,112000,6653857,Howto & Style,https://youtu.be/r9ILaxjCp_c
55,429.2,2.5,NO,1,NO,Why did you steal my stuff #MD,Sarah Duncan,31500,13520536,Comedy,https://youtu.be/p-BiFXlK268
55,59.9,0.7,US,2,"GB, US",Matthew McConaughey's Eye Swelled Shut from Bee Sting! 😱🐝 #mathewmcconaughey #jimmyfallon,Fame Stories,25500,1550566,Film & Animation,https://youtu.be/hKABVOvrZzU
55,675.3,0.3,DE,2,"DE, PL","Não adianta dar desculpa, quem quer andar de moto dar um jeito. #motohumor # #motovlog #memes",Quem Roda Sabe,12000,8047573,Autos & Vehicles,https://youtu.be/yea1IFgV-5E
55,2.9,88.1,NO,4,"DK, IE, NO, SE",The Search For The Leviathan,Wifies,4030000,11727529,Gaming,https://youtu.be/izNezNuv9sU
55,12.4,0.4,US,4,"AU, CA, GB, US",Bro Made These Kids’ Whole Day 😭,Auto Crash,184000,2288964,Autos & Vehicles,https://youtu.be/Vk1MweWvpAU
55,77.0,1.0,CH,4,"CH, DE, ES, IT",How Hollywood Shoots These Epic Disaster Scenes#LIVEIncentiveProgram#LIVEFEST2026#MakeLIVECount,Thị Mỹ Hạnh Nguyễn,95000,7343473,Film & Animation,https://youtu.be/M1ZkB10KiUk
54,107.5,0.3,US,3,"AU, CA, US",Cosmic truth btw,Wingz,15800,1703212,Entertainment,https://youtu.be/2FaV-6fxUyI
54,0.0,31.0,US,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",Hermitcraft 11: Episode 25 - Final Stages,Mumbo Jumbo,9780000,370375,Gaming,https://youtu.be/cVvGBlj47CU
54,1.0,0.7,US,8,"AU, CA, DK, GB, NL, NO, SE, US",Cooking in Japan got me SCAMMED 😡,Megan and Ben,2800000,2904874,Howto & Style,https://youtu.be/3Dfm8T3SnX4
54,80.4,1.5,US,2,"CA, US","Asking Mechanics ""who has the FASTEST car in the shop?""",Aeschbach Automotive,11400,917102,Autos & Vehicles,https://youtu.be/T1slYa0I8Zw
54,32.2,0.3,US,3,"AU, CA, US",Biker Was Not Happy About This,dannbytes,17500,575746,Autos & Vehicles,https://youtu.be/7OzQ5nA-Gqk
54,2.1,0.8,US,9,"AU, CA, DK, GB, IE, NL, NO, SE, US",Was this CHEATING?!?! 😭 #besties #bestiesforever #huesandcues #guessthecolor #colorblind,Sophia & Noelle,1200000,2477254,Pets & Animals,https://youtu.be/PgICXn1f3jk
54,38.4,0.4,US,3,"AU, CA, US",Tjr Reveals His Car Only Has One Gear… #n3on,ClipsHQ,24700,950800,Autos & Vehicles,https://youtu.be/4iO0XUyMxbE
54,72.1,0.4,GB,1,GB,Sabrina Carpenter's Crazy Allergies,Criminal Pod,37700,2728469,Howto & Style,https://youtu.be/agIbypY2NmI
54,364.6,0.2,SE,1,SE,He just waits to be saved😭,Kayce The Whippet,14500,5294665,Pets & Animals,https://youtu.be/nAg4wojCXek
54,25.8,1.0,US,4,"AU, CA, SE, US",From Nobody to Somebody #thesimpsons #cartoon #funny,FrameLaugh,68800,1782829,Comedy,https://youtu.be/PADofO0oQhA
54,1.2,83.6,NO,7,"AU, CH, DK, IE, NL, NO, SE",I Created Minecraft's Greatest Military,Spoke,2670000,3139611,Gaming,https://youtu.be/V9HzAdwgf-I
